adrid,adr_info
Sudden visual loss,06.02.10.011;17.17.01.014
Hepatitis B e antigen positive,13.08.03.007
Bronchial haemorrhage,22.03.02.007;24.07.01.045
Throat tightness,19.01.02.005;22.12.03.031
Dry eye,06.08.02.001
Yellow skin,08.01.03.046;09.01.01.009;23.03.03.042
Conjoined twins,03.02.01.009;18.03.02.010
Gastrointestinal tract irritation,07.08.03.008
Mouth ulceration,07.05.06.004
Carbohydrate tolerance decreased,13.02.02.003
Toxic shock syndrome,11.01.08.028;24.06.02.015;11.01.11.004;24.06.02.011
Urethral disorder,20.07.01.002
Acute psychosis,19.03.01.001
Muscle twitching,15.05.03.005
Idiopathic pulmonary fibrosis,10.02.01.034;22.01.02.014
Swollen tongue,07.14.02.003;10.01.05.015;23.04.01.014
Haemorrhage,24.07.01.002
Endocrine disorder,05.09.01.001
Priapism,21.03.01.005;24.04.12.007
Urethral obstruction,20.07.03.002
Colonic pseudo-obstruction,07.02.02.020
Erythropsia,06.02.05.005
Prothrombin time abnormal,13.01.02.017
Neurological symptom,17.02.05.010
Cardiomyopathy,02.04.01.001
Faecal incontinence,07.01.06.029;17.05.01.021
Acrodynia,12.03.01.021;17.09.04.001;23.03.06.007
Pathogen resistance,11.01.08.049
Fanconi syndrome,03.06.01.001;14.01.01.011;20.05.03.009;20.05.03.028
Staphylococcal scalded skin syndrome,11.02.05.010;12.03.01.071;23.03.01.025
Opisthotonus,17.01.03.005
Ear disorder,04.03.01.001
Rosacea,23.02.08.001;06.04.05.032;23.02.08.002
Ureteral spasm,20.06.01.002
Umbilical hernia,07.16.03.001;03.04.07.001;07.16.03.002
Claustrophobia,19.06.03.005;19.06.03.002;19.07.05.002
Gastritis erosive,07.04.03.003
Paresis,17.01.04.008;17.01.04.001;17.01.04.011
Eye injury,06.11.01.009;12.01.04.017
Cystitis interstitial,10.02.01.039;20.03.02.005
Penile discharge,21.12.01.005
Blood lactate dehydrogenase increased,13.04.02.002
Chemical injury,12.03.02.008
Gastroenteritis,07.19.03.001;11.01.07.004
Sudden cardiac death,02.03.04.016;08.04.01.008
Shortened cervix,21.06.01.009
Senile ankylosing vertebral hyperostosis,15.01.09.006
Gastroenteritis bacterial,07.19.03.008;11.02.01.018
Hepatitis,09.01.07.004
Pupillary disorder,06.05.03.008;17.02.11.006;06.05.03.009;06.05.03.012;17.02.11.007;17.02.11.008
Hepatic pain,09.01.05.005
Renal aplasia,03.06.01.002;20.01.02.001
Hemiplegia,17.01.04.002;17.01.04.003
Vaginal disorder,21.08.01.005
Peritonsillar abscess,11.01.13.014;22.07.03.016
Rectal haemorrhage,07.12.03.001;24.07.02.018
Myelodysplastic syndrome transformation,01.10.04.005;16.01.04.005
Solar lentigo,23.05.01.013
Ichthyosis acquired,23.01.02.001
Monocyte count decreased,13.01.06.008
Alveolar proteinosis,10.04.04.018;22.01.02.009
Nocturia,20.02.03.001
Epiglottitis,11.01.13.015;22.07.03.017
Spinal cord disorder,17.10.01.010;17.10.01.007
Injection site abscess sterile,08.02.03.040;12.07.03.040
Drug withdrawal syndrome,08.06.02.004;19.07.06.013
Hyperinsulinism,05.06.03.007;14.06.03.007;05.06.03.005;14.06.03.005
Cardiac disorder,02.11.01.003
Lip ulceration,07.05.06.012
Glomerulonephritis minimal lesion,20.05.01.011
Mean arterial pressure,13.14.03.018
Bronchopulmonary aspergillosis,11.03.01.002;22.07.08.001
Hot flush,08.01.03.027;21.02.02.001;24.03.01.005
Septic arthritis streptobacillus,11.02.21.001;15.01.05.003
Tongue spasm,07.14.02.008
Venoocclusive disease,24.03.02.016
Thermal burn,12.05.04.001;23.03.11.042
Ochronosis,15.06.01.012;23.03.02.015
Type III immune complex mediated reaction,10.01.03.023
Tetrahydrobiopterin deficiency,03.08.04.010;14.14.04.010;17.03.07.003;19.21.06.003;03.08.04.002;14.14.04.002;17.03.07.002;19.21.06.002;20.02.01.018
Breast swelling,21.05.05.008
Gastritis,07.08.02.001
Eye oedema,06.08.03.013
Bacteriuria,11.02.01.014;20.08.02.015
