adrid,adr_info
BADD_A01237,05.03.03.004;14.05.07.003
BADD_A01238,05.06.01.001;14.06.01.001
BADD_A01240,05.06.01.004;14.06.01.004
BADD_A01252,05.07.03.001;14.07.03.001
BADD_A01253,05.07.04.003;14.07.04.003;17.09.04.002
BADD_A01255,05.07.01.002;06.10.02.002;14.07.01.002;24.03.07.004
BADD_A01261,07.02.01.001
BADD_A01263,07.02.01.002;24.07.02.004
BADD_A01269,01.15.02.001;16.28.02.001
BADD_A01273,02.04.02.026
BADD_A01274,17.01.04.015
BADD_A01275,06.02.06.002;17.17.01.005
BADD_A01277,08.01.08.003
BADD_A01278,19.05.01.002
BADD_A01302,17.02.05.015;19.13.01.002
BADD_A01304,01.01.02.002;24.01.01.010
BADD_A01306,19.14.01.002
BADD_A01311,17.03.03.001;19.21.02.002
BADD_A01318,07.10.02.001;11.01.07.003
BADD_A01320,07.10.01.001
BADD_A01321,07.10.01.002
BADD_A01322,02.11.04.006;17.02.05.003;24.06.02.007
BADD_A01324,02.11.04.008;17.02.05.004;24.06.02.008
BADD_A01326,17.02.05.005
BADD_A01327,19.07.06.010
BADD_A01328,19.07.06.011
BADD_A01332,08.01.06.015;10.01.01.005;23.03.05.001
BADD_A01333,10.01.01.001
BADD_A01334,08.06.01.006
BADD_A01335,08.06.03.001
BADD_A01340,08.06.02.003;17.12.03.016
BADD_A01341,08.06.02.004;19.07.06.013
BADD_A01342,08.06.02.008;18.04.13.001;19.07.06.014
BADD_A01343,06.08.02.001
BADD_A01344,07.06.01.002
BADD_A01345,23.03.03.001
BADD_A01346,07.06.01.005;22.12.03.005
BADD_A01350,07.04.02.002
BADD_A01351,07.04.02.004;24.07.02.020
BADD_A01352,07.04.02.003
BADD_A01354,07.08.03.001
BADD_A01358,17.02.06.003;23.03.03.077
BADD_A01359,17.02.08.001;19.19.03.001
BADD_A01361,07.14.03.001;17.02.07.003
BADD_A01363,17.01.02.006
BADD_A01366,21.01.01.002
BADD_A01367,17.02.02.005
BADD_A01368,19.08.05.004;21.03.02.016
BADD_A01369,07.01.02.001
BADD_A01371,07.01.06.003
BADD_A01372,17.02.08.004;19.19.03.002;22.12.03.006
BADD_A01373,19.04.02.004
BADD_A01374,02.11.05.003;22.02.01.004
BADD_A01375,02.11.05.004;22.02.01.025
BADD_A01376,02.11.05.005;22.02.01.005
BADD_A01381,17.01.03.001
BADD_A01383,20.02.02.002
BADD_A01386,04.03.01.001
BADD_A01387,04.03.01.002;12.01.14.004;24.07.01.004
BADD_A01388,04.03.01.006;11.01.05.001
BADD_A01391,04.03.01.003
BADD_A01392,04.03.01.014
BADD_A01393,14.03.01.008;19.09.01.008
BADD_A01396,01.01.03.001;23.06.01.001;24.07.06.002
BADD_A01405,18.02.02.002
BADD_A01408,23.03.04.006
BADD_A01413,21.03.01.001
BADD_A01414,21.03.01.002
BADD_A01415,21.03.01.003
BADD_A01419,13.14.05.001
BADD_A01426,13.14.05.004
BADD_A01430,13.14.05.005
BADD_A01433,13.14.05.007
BADD_A01434,13.07.03.001
BADD_A01437,14.05.01.002
BADD_A01442,17.08.01.032;24.01.04.010
BADD_A01444,24.01.01.003
BADD_A01447,19.04.02.005
BADD_A01449,19.04.02.015
BADD_A01450,22.01.02.002
BADD_A01462,17.13.02.001
BADD_A01473,05.09.01.001
BADD_A01487,16.12.02.001;21.07.02.002
BADD_A01489,21.07.01.001
BADD_A01493,21.07.01.004
BADD_A01495,06.04.05.009;11.01.06.003
BADD_A01498,07.08.03.002
BADD_A01502,07.08.03.003
BADD_A01503,07.08.01.007;24.07.02.006
BADD_A01504,19.07.04.001;20.02.02.003
BADD_A01510,13.01.06.004
BADD_A01511,01.02.04.001
BADD_A01513,01.02.04.003;22.01.01.004
BADD_A01519,11.01.19.005;21.09.02.001
BADD_A01522,17.12.03.002
BADD_A01528,22.04.03.001;24.07.01.005
BADD_A01531,19.08.04.002;21.03.01.004
BADD_A01533,07.01.02.003
BADD_A01535,23.03.06.001
BADD_A01540,10.01.03.015;23.03.01.003
BADD_A01541,10.02.01.020;23.07.02.001
BADD_A01542,06.04.04.003;23.03.06.006
BADD_A01551,24.08.02.008
BADD_A01554,19.04.02.006
BADD_A01560,05.02.02.002;06.09.04.001
BADD_A01561,15.02.04.005
BADD_A01568,17.01.02.007
BADD_A01569,02.03.02.003
BADD_A01570,08.01.03.008
BADD_A01575,06.04.05.001
BADD_A01576,06.08.03.001
BADD_A01580,06.07.02.001;12.02.02.012;24.07.05.002
BADD_A01581,06.04.05.007;11.01.06.001
BADD_A01585,06.04.05.002
BADD_A01586,06.04.05.003
BADD_A01589,06.08.03.002
BADD_A01590,06.08.03.003
BADD_A01593,06.04.04.004;10.01.05.001;23.04.01.003
BADD_A01594,06.05.01.002;17.17.02.004
BADD_A01597,08.01.07.003;10.01.05.002;23.04.01.004
BADD_A01600,08.01.08.012
BADD_A01601,17.04.03.008
BADD_A01608,07.01.03.002
BADD_A01609,07.01.03.003
BADD_A01613,14.03.02.008;18.04.01.003;19.07.05.001
BADD_A01614,12.01.08.002
BADD_A01626,08.01.01.002
BADD_A01627,19.06.03.001
BADD_A01630,01.02.03.002;08.05.02.004
BADD_A01631,08.01.09.014
BADD_A01632,08.01.09.008
BADD_A01633,08.01.09.015
BADD_A01634,08.01.09.009
BADD_A01635,08.01.09.016
BADD_A01636,19.15.02.006
BADD_A01654,16.14.01.003;21.05.04.018
BADD_A01656,08.03.01.001
BADD_A01658,15.03.02.001
BADD_A01660,08.01.08.007;15.03.04.003;20.02.03.006
BADD_A01661,19.04.01.004
BADD_A01662,07.01.04.002
BADD_A01668,14.05.06.002;20.01.02.003
BADD_A01671,08.01.03.025;23.06.05.003;24.03.01.002
BADD_A01677,18.03.02.003
BADD_A01679,11.02.01.053;23.11.04.003
BADD_A01681,10.01.01.012
BADD_A01682,08.06.03.002
BADD_A01685,07.11.01.007;11.07.02.001;12.03.01.024
BADD_A01692,17.02.06.018;19.10.04.002
BADD_A01693,12.04.02.001;15.08.02.001
BADD_A01695,07.02.04.002
BADD_A01699,11.03.05.001
BADD_A01702,11.03.05.002;23.11.03.006
BADD_A01704,11.02.05.008;23.11.02.009
BADD_A01705,08.01.02.002;15.03.05.013;17.02.05.016
BADD_A01707,05.03.04.002;21.05.02.002
BADD_A01709,09.03.02.001
BADD_A01717,13.03.04.024
BADD_A01718,11.02.01.003;23.06.06.001;24.04.05.003
BADD_A01723,07.21.02.001;16.13.03.001
BADD_A01726,07.12.01.001;24.07.02.007
BADD_A01729,07.04.03.001;12.02.03.007
BADD_A01730,07.20.01.003;16.05.03.001
BADD_A01731,07.04.03.002
BADD_A01732,07.04.03.005;24.07.02.003
BADD_A01736,07.08.02.001
BADD_A01738,07.04.03.003
BADD_A01739,07.08.02.002;24.07.02.008
BADD_A01741,07.02.02.003
BADD_A01744,07.19.03.001;11.01.07.004
BADD_A01756,07.21.03.001;16.13.04.001
BADD_A01758,07.11.01.001
BADD_A01764,07.12.02.001;24.07.02.009
BADD_A01775,07.15.01.003;24.04.08.006
BADD_A01788,07.01.05.005
